President;Date;Approve;Disapprove;Inaug;Days
Trump;12/12/2017;36;59;1/20/17;326
Trump;12/09/2017;36;59;1/20/17;323
Trump;12/06/2017;37;59;1/20/17;320
Trump;12/03/2017;35;60;1/20/17;317
Trump;11/30/2017;34;60;1/20/17;314
Trump;11/27/2017;37;56;1/20/17;311
Trump;11/24/2017;38;55;1/20/17;308
Trump;11/20/2017;36;57;1/20/17;304
Trump;11/17/2017;39;56;1/20/17;301
Trump;11/14/2017;37;57;1/20/17;298
Trump;11/11/2017;39;55;1/20/17;295
Trump;11/08/2017;37;57;1/20/17;292
Trump;11/05/2017;37;57;1/20/17;289
Trump;11/02/2017;39;57;1/20/17;286
Trump;10/30/2017;34;62;1/20/17;283
Trump;10/27/2017;36;59;1/20/17;280
Trump;10/24/2017;36;59;1/20/17;277
Trump;10/21/2017;36;58;1/20/17;274
Trump;10/18/2017;36;59;1/20/17;271
Trump;10/15/2017;36;59;1/20/17;268
Trump;10/12/2017;39;54;1/20/17;265
Trump;10/09/2017;36;58;1/20/17;262
Trump;10/06/2017;39;56;1/20/17;259
Trump;10/03/2017;39;57;1/20/17;256
Trump;9/30/2017;38;57;1/20/17;253
Trump;9/27/2017;36;59;1/20/17;250
Trump;9/24/2017;39;54;1/20/17;247
Trump;9/21/2017;38;56;1/20/17;244
Trump;9/18/2017;39;55;1/20/17;241
Trump;9/15/2017;36;59;1/20/17;238
Trump;09/12/2017;37;57;1/20/17;235
Trump;09/09/2017;38;56;1/20/17;232
Trump;09/06/2017;36;57;1/20/17;229
Trump;09/03/2017;38;56;1/20/17;226
Trump;8/31/2017;34;61;1/20/17;223
Trump;8/28/2017;35;60;1/20/17;220
Trump;8/25/2017;35;60;1/20/17;217
Trump;8/22/2017;35;59;1/20/17;214
Trump;8/19/2017;36;58;1/20/17;211
Trump;8/16/2017;37;57;1/20/17;208
Trump;8/13/2017;34;61;1/20/17;205
Trump;08/10/2017;37;56;1/20/17;202
Trump;08/07/2017;37;59;1/20/17;199
Trump;08/04/2017;37;55;1/20/17;196
Trump;08/01/2017;36;60;1/20/17;193
Trump;7/29/2017;38;57;1/20/17;190
Trump;7/26/2017;39;55;1/20/17;187
Trump;7/23/2017;37;58;1/20/17;184
Trump;7/20/2017;37;58;1/20/17;181
Trump;7/17/2017;38;56;1/20/17;178
Trump;7/14/2017;38;57;1/20/17;175
Trump;07/10/2017;40;55;1/20/17;171
Trump;07/07/2017;38;56;1/20/17;168
Trump;07/03/2017;37;57;1/20/17;164
Trump;6/30/2017;38;57;1/20/17;161
Trump;6/27/2017;39;56;1/20/17;158
Trump;6/24/2017;38;57;1/20/17;155
Trump;6/21/2017;39;56;1/20/17;152
Trump;6/18/2017;38;56;1/20/17;149
Trump;6/15/2017;38;57;1/20/17;146
Trump;06/12/2017;36;60;1/20/17;143
Trump;06/09/2017;39;56;1/20/17;140
Trump;06/06/2017;38;57;1/20/17;137
Trump;06/03/2017;36;58;1/20/17;134
Trump;5/31/2017;40;54;1/20/17;131
Trump;5/28/2017;42;53;1/20/17;128
Trump;5/25/2017;41;54;1/20/17;125
Trump;5/22/2017;38;56;1/20/17;122
Trump;5/19/2017;37;56;1/20/17;119
Trump;5/16/2017;38;57;1/20/17;116
Trump;5/13/2017;39;56;1/20/17;113
Trump;05/10/2017;38;55;1/20/17;110
Trump;05/07/2017;42;53;1/20/17;107
Trump;05/04/2017;42;52;1/20/17;104
Trump;05/01/2017;42;54;1/20/17;101
Trump;4/28/2017;43;51;1/20/17;98
Trump;4/25/2017;39;56;1/20/17;95
Trump;4/22/2017;40;54;1/20/17;92
Trump;4/19/2017;43;50;1/20/17;89
Trump;4/15/2017;41;53;1/20/17;85
Trump;04/12/2017;40;54;1/20/17;82
Trump;04/09/2017;40;53;1/20/17;79
Trump;04/06/2017;40;54;1/20/17;76
Trump;04/03/2017;39;55;1/20/17;73
Trump;3/31/2017;40;56;1/20/17;70
Trump;3/28/2017;35;59;1/20/17;67
Trump;3/25/2017;40;54;1/20/17;64
Trump;3/22/2017;39;56;1/20/17;61
Trump;3/19/2017;39;55;1/20/17;58
Trump;3/16/2017;41;54;1/20/17;55
Trump;3/13/2017;39;55;1/20/17;52
Trump;03/10/2017;44;49;1/20/17;49
Trump;03/07/2017;42;53;1/20/17;46
Trump;03/04/2017;43;50;1/20/17;43
